state,year,quarter,total_opens,total_users,open_rate
meghalaya,2024,1,207128767,365452,566.77
meghalaya,2024,2,204649032,379342,539.48
meghalaya,2024,3,292472944,548502,533.22
mizoram,2024,3,109786827,224952,488.05
ladakh,2023,3,42636030,120435,354.02
ladakh,2024,3,68575933,194146,353.22
ladakh,2024,2,41355640,134702,307.02
arunachal pradesh,2024,3,210856966,687168,306.85
mizoram,2024,1,50294364,165126,304.58
arunachal pradesh,2024,1,143597043,482393,297.68
arunachal pradesh,2024,2,132013837,500669,263.67
andaman & nicobar islands,2024,1,28538751,108411,263.25
mizoram,2024,2,44171046,171540,257.5
assam,2024,2,1728273868,6767874,255.36
arunachal pradesh,2023,3,112236680,444789,252.34
arunachal pradesh,2023,2,106089520,426410,248.8
ladakh,2023,2,26285520,115736,227.12
meghalaya,2023,3,75055865,336282,223.19
arunachal pradesh,2023,1,88997458,408273,217.99
assam,2024,1,1381009332,6510156,212.13
